Key|Singular|Plural|Category|THACO|AC|MV|HD|#AT|Damage (long)|Damage (short)|SA|SD|MR|Special|Size|Int|Alignment|Psionic|Attack/Defense Modes|Frequency|No. Appearing|% in Lair|Treasure Type|Level|XP
eye_of_the_deep_12hd|Eye of the Deep|Eyes of the Deep||9|5|6"|12|3|2--8\?2--8\?1--6|2\x2--8\?1--6|Stunning, magic use|Nil|Standard|Stunning, magic use|L (5' dia.)|Very|Lawful Evil|Nil|Nil|Very rare|1|20\%|R|VIII|3700\+16/hp
flightless_bird|Flightless Bird|Flightless Birds|Bird|19--16|7|18"|1--3|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (rhea to ostrich)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|I|20\+2/hp
flightless_bird_1hd|Flightless Bird||Bird|19|7|18"|1|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (rhea-sized)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|I|10\+1/hp
flightless_bird_2hd|Flightless Bird||Bird|16|7|18"|2|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (emu-sized)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|I|20\+2/hp
flightless_bird_3hd|Flightless Bird||Bird|16|7|18"|3|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (ostrich-sized)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|II|35\+3/hp
ostrich|Ostrich|Ostriches|Flightless Bird|16|7|18"|3|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (ostrich-sized)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|II|35\+3/hp
emu|Emu|Emus|Flightless Bird|16|7|18"|2|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (emu-sized)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|I|20\+2/hp
rhea|Rhea|Rheas|Flightless Bird|19|7|18"|1|1 or 1|1--4 or 2--8|1--4 or 2--8|Nil|Nil|Standard|Non-aggressive; Peck 1--4 or Kick 2--8 when cornered|M (rhea-sized)|Animal|Neutral|Nil|Nil|Common|2--20|Nil|Nil|I|10\+1/hp
fungus_violet|Violet Fungus|Violet Fungi|Fungus|16|7|1"|3|1--4|Rotting touch|Rotting touch|Rotting poison|Nil|Standard|Rotting touch rots flesh in 1 round (save vs poison)|S to M (4'--7')|Non-|Neutral|Nil|Nil|Rare|1--4|Nil|Nil|III|105\+3/hp
frog_giant|Giant Frog||Frog|19--16|7|3"//9"|1--3|1|1--3/1--6/2--8|1--3/1--6/2--8|Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|Nil|Standard|Surprise on 1--4; Sticky tongue|S to M|Non-|Neutral|Nil|Nil|Uncommon|5--40|Nil|Nil|II|65\+2/hp
frog_giant_1hd|Giant Frog||Frog|19|7|3"//9"|1|1|1--3|1--3|Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|Nil|Standard|Surprise on 1--4; Sticky tongue|S|Non-|Neutral|Nil|Nil|Uncommon|5--40|Nil|Nil|II|45\+1/hp
frog_giant_2hd|Giant Frog||Frog|16|7|3"//9"|2|1|1--6|1--6|Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|Nil|Standard|Surprise on 1--4; Sticky tongue|M|Non-|Neutral|Nil|Nil|Uncommon|5--40|Nil|Nil|II|65\+2/hp
frog_giant_3hd|Giant Frog||Frog|16|7|3"//9"|3|1|2--8|2--8|Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|Nil|Standard|Surprise on 1--4; Sticky tongue|S to M|Non-|Neutral|Nil|Nil|Uncommon|5--40|Nil|Nil|II|90\+3/hp
frog_killer|Killer Frog||Frog|16|8|6"//12"|1+4|3|1--2\?1--2\?2--5|2\x1--2\?2--5|Surprise on 1--4; jump|Nil|Standard|Surprise on 1--4; jump|S|Non-|Neutral|Nil|Nil|Very rare|3--18|Nil|Nil|II|36\+2/hp
frog_poisonous|Poisonous Frog||Frog|19|8|3"//9"|1|1|1|1|Poison (\+4 on save)|Nil|Standard|Poison (\+4 on save)|S|Non-|Neutral|Nil|Nil|Rare|2--12|Nil|Nil|II|45\+1/hp
gar_giant|Giant Gar|||12|3|30"|8|1|5--20|5--20|Swallow whole|Nil|Standard|Swallow whole|L (21'--30' long)|Non-|Neutral|Nil|Nil|Rare|1--6|Nil|Nil|VI|650\+10/hp
gargoyle|Gargoyle|||15|5|9"/15"|4+4|4|1--3\?1--3\?1--6\?1--4|2\x1--3\?1--6\?1--4|Nil|+1 or better weapon to hit|Standard|Magic weapon to hit|M|Low|Chaotic Evil|Nil|Nil|Uncommon|2--16|20\%|Individuals M (\x10); C in lair|IV|170\+5/hp
gas_spore|Gas Spore|||20|9|3"|1 hit point|1|Special|Special|Touch causes infestation|Explodes for 6--36 when struck|Standard|Touch causes infestation; Explodes for 6--36 when struck|L|Non-|Neutral|Nil|Nil|Rare|1--3|Nil|Nil|II|33
gelatinous_cube|Gelatinous Cube|||15|8|6"|4|1|2--8|2--8|Paralyzation, surprise on 1--3|Immune to electricity, fear, hold, paralyzation, polymorph and sleep|Special|Paralyzation, surprise on 1--3; Immune to electricity, fear, hold, paralyzation, polymorph and sleep|L (10' cube)|Non-|Neutral|Nil|Nil|Uncommon|1|Nil|J, K, L, M, N, Q, possible magic|III|150\+4/hp
ghast|Ghast|||15|4|15"|4|3|1--4\?1--4\?1--8|2\x1--4\?1--8|Nausea, paralyzation|Immune to sleep and charm|Standard|Nausea, paralyzation; Immune to sleep and charm|M|Very|Chaotic Evil|Nil|Nil|Rare|1--6|10\%|B, Q, R, S, T|IV|190\+4/hp
ghost|Ghost|||10|0\,(8)|9"|10|1|Age 10--40 years|Age 10--40 years|Age 10 years and panic, age 10--40 years per touch, magic jar|Ethereal versus weapons and spells; silver does half damage|Special|Age and panic, magic jar; Ethereal versus weapons and spells, silver does half damage|M|High|Lawful Evil|Nil|Nil|Very rare|1|25\%|E, S|VIII|4050\+14/hp
ghoul|Ghoul|||16|6|9"|2|3|1--3\?1--3\?1--6|2\x1--3\?1--6|Paralyzation|Immune to sleep and charm|Standard|Paralyzation; Immune to sleep and charm|M|Low|Chaotic Evil|Nil|Nil|Uncommon|2--24|20\%|B, T|III|65\+2/hp
giant_cloud|Cloud Giant||Giant|9|2|15"|12+2--7|1|6--36|6--36|Hurl rocks (2--24)|Surprised only on 1|Standard|Hurl rocks (2--24); Surprised only on 1|L (18' tall)|Average to Very|Neutral|Nil|Nil|Rare|1--6|40\%|E, Q (\x5)|VIII|4250\+16/hp
giant_fire|Fire Giant||Giant|10\?9|3|12"|11+2--5|1|5--30|5--30|Hurl rocks (2--20)|Impervious to fire|Standard|Hurl rocks (2--20); Impervious to fire|L (12' tall)|Average to Low|Lawful Evil|Nil|Nil|Uncommon|1--8|35\%|E|VII|2700\+16/hp
giant_frost|Frost Giant||Giant|10|4|12"|10+1--4|1|4--24|4--24|Hurl rocks (2--20)|Impervious to cold|Standard|Hurl rocks (2--20); Impervious to cold|L (15' tall)|Average to Low|Chaotic Evil|Nil|Nil|Rare|1--8|30\%|E|VII|2250\+14/hp
giant_hill|Hill Giant||Giant|12|4|12"|8+1--2|1|2--16|2--16|Hurl rocks (2--16)|Catch similar missiles 30\%|Standard|Hurl rocks (2--16); Catch similar missiles 30\%|L (10\half' tall)|Low|Chaotic Evil|Nil|Nil|Common|1--10|25\%|D|VII|1200\+12/hp
giant_stone|Stone Giant||Giant|12|0|12"|9+1--3|1|3--18|3--18|Hurl rocks (3--30)|Camouflage, catch similar missiles 90\%|Standard|Hurl rocks (3--30); Camouflage, catch similar missiles 90\%|L (12' tall)|Average|Neutral|Nil|Nil|Uncommon|1--8|30\%|D|VII|1800\+14/hp
giant_storm|Storm Giant||Giant|8\?7|1|15"|15+2--7|1|7--42|7--42|Magic use|Impervious to electricity|Standard|Magic use; Impervious to electricity|L (21' tall)|Exceptional|Chaotic Good|Nil|Nil|Rare|1--4|55\%|E, Q (\x10), S|IX|6850\+20/hp
gnoll|Gnoll|||16|5|9"|2|1|2--8 or by weapon|2--8|Nil|Nil|Standard||L (7'+ tall)|Low-average|Chaotic Evil|Nil|Nil|Uncommon|20--200|20\%|Individuals L, M; D, Q (\x5), S in lair|II|28\+2/hp
gnoll_leader|Gnoll Leader|||16|5|9"|2 (16 hp)|1|2--8 or by weapon|2--8|Nil|Nil|Standard|Attacks as a 3 HD creature|L (7'+ tall)|Low-average|Chaotic Evil|Nil|Nil|Uncommon|20--200|20\%|Individuals L, M; D, Q (\x5), S in lair|II|28\+2/hp
gnoll_chieftain|Gnoll Chieftain|||15|3|9"|2 (22 hp)|1|4--10 or by weapon|4--10|Nil|Nil|Standard|Attacks as a 4 HD creature|L (7'+ tall)|Low-average|Chaotic Evil|Nil|Nil|Uncommon|20--200|20\%|Individuals L, M; D, Q (\x5), S in lair|II|28\+2/hp
gnoll_guard|Gnoll Guard|||16|4|9"|2 (20 hp)|1|3--9 or by weapon|3--9|Nil|Nil|Standard|Attacks as a 3 HD creature|L (7'+ tall)|Low-average|Chaotic Evil|Nil|Nil|Uncommon|20--200|20\%|Individuals L, M; D, Q (\x5), S in lair|II|28\+2/hp
gnome|Gnome|||19|5|6"|1|1|1--6 or by weapon|1--6|+1 against kobolds, goblins|Gnolls, bugbears, ogres, trolls giants -4 to hit; save magic\?poison at 4 levels higher|Special|+1 against kobolds, goblins; Gnolls, bugbears, ogres, trolls giants -4 to hit; save magic\?poison at 4 levels higher|S (3'+ tall)|Very|Lawful Good|Nil|Nil|Rare|40--400|50\%|Individuals M (\x3); C, Q (\x20) in lair|II|22\+1/hp
goat_giant|Giant Goat|||16|7|18"|3+1|1|2--16|2--16|Charge (+4 to hit, 6--20)|Nil|Standard|Charge (+4 to hit, 6--20)|L (5'+ at shoulder)|Semi-|Neutral|Nil|Nil|Rare|1--12|Nil|Nil|III|85\+4/hp
goblin|Goblin|||20|6|6"|1-1|1|1--6 or by weapon|1--6|Nil|Nil|Standard|Infravision 60'; -1 to hit in sunlight|S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|I|10\+1/hp
goblin_leader|Goblin Leader|||19|6|6"|1 (7 hp)|1|1--6 or by weapon|1--6|Nil|Nil|Standard||S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|I|10\+1/hp
goblin_assistant|Goblin Assistant|||19|6|6"|1 (7 hp)|1|1--6 or by weapon|1--6|Nil|Nil|Standard||S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|I|10\+1/hp
goblin_subchief|Goblin Subchief|||18|5|6"|1+1 (8 hp)|1|1--8 or by weapon|1--8|Nil|Nil|Standard||S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|I|20\+2/hp
goblin_guard|Goblin Guard|||18|5|6"|1+1 (8 hp)|1|1--8 or by weapon|1--8|Nil|Nil|Standard||S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|I|20\+2/hp
goblin_bodyguard|Goblin Bodyguard|||16|4|6"|2 (9--14 hp)|1|2--8 or by weapon|2--8|Nil|Nil|Standard|Fights as gnolls|S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|II|20\+2/hp
goblin_chief|Goblin Chief|||16|4|6"|2 (9--14 hp)|1|2--8 or by weapon|2--8|Nil|Nil|Standard|Fights as gnolls|S (4' tall)|Average (low)|Lawful Evil|Nil|Nil|Uncommon|40--400|40\%|Individuals K; C in lair|II|20\+2/hp
golem_clay|Clay Golem||Golem|10|7|7"|50 hit points|1|3--30|3--30|Haste|Blunt magic weapons to hit, immune to most spells|Special|Haste; Blunt magic weapons to hit, immune to most spells|L (8' tall)|Non-|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VIII|5200
golem_flesh|Flesh Golem||Golem|12|9|8"|40 hit points|2|2--16\?2--16|2\x2--16|Nil|Magic weapons to hit, immune to most spells|Special|Berserk; Magic weapons to hit, immune to most spells, fire or cold slows, electricity heals|L (7\half' tall)|Semi-|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2380
golem_iron|Iron Golem||Golem|7|3|6"|80 hit points|1|4--40|4--40|Poison gas|+3 or better weapon to hit, immune to most spells|Special|Poison gas; +3 weapon to hit, immune to most spells, electricity slows, magic fire heals|L (12' tall)|Non-|Neutral|Nil|Nil|Very rare|1|Nil|Nil|X|14550
golem_stone|Stone Golem||Golem|9|5|6"|60 hit points|1|3--24|3--24|Slow spell|+2 or better weapon to hit, immune to most spells|Special|Slow spell; +2 weapon to hit, immune to most spells|L (9\half' tall)|Non-|Neutral|Nil|Nil|Very rare|1|Nil|Nil|IX|6930
gorgon|Gorgon|||12|2|12"|8|1|2--12|2--12|Breath turns to stone|Nil|Standard|Breath turns to stone|L|Animal|Neutral|Nil|Nil|Rare|1--4|40\%|E|VII|1750\+10/hp
gray_ooze|Gray Ooze|||16|8|1"|3+3|1|2--16|2--16|Corrosive properties, possible psionics|Immune to most spells|Special|Corrosive properties, possible psionics; Immune to most spells|M--L|Animal|Neutral|21--121|E\?Nil|Rare|1--3|Nil|Nil|IV|200\+4/hp
green_slime|Green Slime|||16|9|0"|2|0|Nil|Nil|Infects flesh, corrodes wood and metal|Immune to most weapons and spells|Special|Infects flesh, corrodes wood and metal; Immune to most weapons and spells|S|Non-|Neutral|Nil|Nil|Rare|1--6|Nil|Nil|VI|630\+2/hp
griffon|Griffon|||13|3|12"/30"|7|3|1--4\?1--4\?2--16|2\x1--4\?2--16|Nil|Nil|Standard||L|Semi-|Neutral|Nil|Nil|Uncommon|2--12|25\%|C, S|IV|225\+8/hp
groaning_spirit|Groaning Spirit|||13|0|15"|7|1|1--8|1--8|Death groan, fear|+1 or better weapon to hit, immune to charm, sleep, hold, cold and electricity|50\%|Death groan, fear; +1 weapon to hit, spell immunity, MR 50\%|M|Exceptional|Chaotic Evil|Nil|Nil|Very rare|1|10\%|D|VII|1600\+8/hp
harpy|Harpy|Harpies||16|7|6"/15"|3|3|1--3\?1--3\?1--6|2\x1--3\?1--6|Singing, charm|Nil|Standard|Singing, charm|M|Low|Chaotic Evil|Nil|Nil|Rare|2--12|25\%|C|III|145\+3/hp
hell_hound|Hell Hound|||15\?13|4|12"|4--7|1|1--10|1--10|Breathe fire (1 hp per HD), surprise on 1--4|Surprised only on 1, detect hidden/invisible 50\%|Standard|Breathe fire, surprise on 1--4; Surprised only on 1, detect hidden/invisible 50\%|M|Low|Lawful Evil|Nil|Nil|Very rare|2--8|30\%|C|IV|250\+5/hp
hell_hound_4hd|Hell Hound|||15|4|12"|4|1|1--10|1--10|Breathe fire (1 hp per HD), surprise on 1--4|Surprised only on 1, detect hidden/invisible 50\%|Standard|Breathe fire, surprise on 1--4; Surprised only on 1, detect hidden/invisible 50\%|M|Low|Lawful Evil|Nil|Nil|Very rare|2--8|30\%|C|IV|160\+4/hp
hell_hound_5hd|Hell Hound|||15|4|12"|5|1|1--10|1--10|Breathe fire (1 hp per HD), surprise on 1--4|Surprised only on 1, detect hidden/invisible 50\%|Standard|Breathe fire, surprise on 1--4; Surprised only on 1, detect hidden/invisible 50\%|M|Low|Lawful Evil|Nil|Nil|Very rare|2--8|30\%|C|IV|250\+5/hp
hell_hound_6hd|Hell Hound|||13|4|12"|6|1|1--10|1--10|Breathe fire (1 hp per HD), surprise on 1--4|Surprised only on 1, detect hidden/invisible 50\%|Standard|Breathe fire, surprise on 1--4; Surprised only on 1, detect hidden/invisible 50\%|M|Low|Lawful Evil|Nil|Nil|Very rare|2--8|30\%|C|V|450\+6/hp
hell_hound_7hd|Hell Hound|||13|4|12"|7|1|1--10|1--10|Breathe fire (1 hp per HD), surprise on 1--4|Surprised only on 1, detect hidden/invisible 50\%|Standard|Breathe fire, surprise on 1--4; Surprised only on 1, detect hidden/invisible 50\%|M|Low|Lawful Evil|Nil|Nil|Very rare|2--8|30\%|C|VI|725\+8/hp
herd_animal|Herd Animal|||19\?16\?15|8--7|15"--24"|1--5|Variable|Variable|Variable|Stampede|Nil|Standard|Stampede|S, M, or L|Animal|Neutral|Nil|Nil|Common|20--200 or more|Nil|Nil|II|35\+3/hp
herd_animal_1hd|Herd Animal|||19|8--7|15"--24"|1|Variable|Variable|Variable|Stampede|Nil|Standard|Stampede|S, M, or L|Animal|Neutral|Nil|Nil|Common|20--200 or more|Nil|Nil|I|10\+1/hp
herd_animal_2hd|Herd Animal|||16|8--7|15"--24"|2|Variable|Variable|Variable|Stampede|Nil|Standard|Stampede|S, M, or L|Animal|Neutral|Nil|Nil|Common|20--200 or more|Nil|Nil|I|20\+2/hp
herd_animal_3hd|Herd Animal|||16|8--7|15"--24"|3|Variable|Variable|Variable|Stampede|Nil|Standard|Stampede|S, M, or L|Animal|Neutral|Nil|Nil|Common|20--200 or more|Nil|Nil|II|35\+3/hp
herd_animal_4hd|Herd Animal|||15|8--7|15"--24"|4|Variable|Variable|Variable|Stampede|Nil|Standard|Stampede|S, M, or L|Animal|Neutral|Nil|Nil|Common|20--200 or more|Nil|Nil|III|60\+4/hp
herd_animal_5hd|Herd Animal|||15|8--7|15"--24"|5|Variable|Variable|Variable|Stampede|Nil|Standard|Stampede|S, M, or L|Animal|Neutral|Nil|Nil|Common|20--200 or more|Nil|Nil|III|90\+5/hp
hippocampus|Hippocampus|Hippocampi||15|5|24"|4|1|1--4|1--4|Nil|Nil|Standard||L|Average|Chaotic Good|Nil|Nil|Rare|2--8|Nil|Nil|III|60\+4/hp
hippogriff|Hippogriff|||16|5|18"/36"|3+3|3|1--6\?1--6\?1--10|2\x1--6\?1--10|Nil|Nil|Standard||L|Semi-|Neutral|Nil|Nil|Rare|2--16|10\%|Q (\x5)|III|60\+4/hp
hippopotamus|Hippopotamus|Hippopotami||12|6|9"//12"|8|1|2--12 or 3--18|2--12 or 3--18|Upset river craft|Nil|Standard|Upset river craft|L|Animal|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|V|375\+10/hp
hippopotamus_bull|Bull Hippopotamus|Bull Hippopotami|Hippopotamus|12|6|9"//12"|8|1|3--18|3--18|Upset river craft|Nil|Standard|Upset river craft|L|Animal|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|V|375\+10/hp
hippopotamus_cow|Cow Hippopotamus|Cow Hippopotami|Hippopotamus|12|6|9"//12"|8|1|2--12|2--12|Upset river craft|Nil|Standard|Upset river craft|L|Animal|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|V|375\+10/hp
hobgoblin|Hobgoblin|||18|5|9"|1+1|1|1--8 or by weapon|1--8|Nil|Nil|Standard||M (6\half' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|20--200|25\%|Individuals J, M; D, Q (\x5) in lair|I|20\+2/hp
hobgoblin_leader|Hobgoblin Leader|||16|5|9"|1+1 (9 hp)|1|1--8 or by weapon|1--8|Nil|Nil|Standard||M (6\half' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|20--200|25\%|Individuals J, M; D, Q (\x5) in lair|I|20\+2/hp
hobgoblin_assistant|Hobgoblin Assistant|||16|5|9"|1+1 (9 hp)|1|1--8 or by weapon|1--8|Nil|Nil|Standard||M (6\half' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|20--200|25\%|Individuals J, M; D, Q (\x5) in lair|I|20\+2/hp
hobgoblin_subchief|Hobgoblin Subchief|||16|3|9"|1+1 (16 hp)|1|3--10 or by weapon|3--10|Nil|Nil|Standard|Attacks as a 3 HD creature|M (6\half' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|20--200|25\%|Individuals J, M; D, Q (\x5) in lair|I|20\+2/hp
hobgoblin_bodyguard|Hobgoblin Bodyguard|||16|3|9"|1+1 (16 hp)|1|3--10 or by weapon|3--10|Nil|Nil|Standard|Attacks as a 3 HD creature|M (6\half' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|20--200|25\%|Individuals J, M; D, Q (\x5) in lair|I|20\+2/hp
hobgoblin_chief|Hobgoblin Chief|||15|2|9"|1+1 (22 hp)|1|2--11 or by weapon|2--11|Nil|Nil|Standard|Attacks as a 4 HD creature|M (6\half' tall)|Average|Lawful Evil|Nil|Nil|Uncommon|20--200|25\%|Individuals J, M; D, Q (\x5) in lair|I|20\+2/hp
homonculous|Homonculous|Homonculi||16|6|6"/18"|2|1|1--3|1--3|Sleep bite|Saves as creator|Standard|Sleep bite; Saves as creator, telepathic link|S (1\half' tall)|Very|As creator|Nil|Nil|Very rare|1|Nil|Nil|III|81\+2/hp
homunculus|Homunculus|Homunculi||16|6|6"/18"|2|1|1--3|1--3|Sleep bite|Saves as creator|Standard|Sleep bite; Saves as creator, telepathic link|S (1\half' tall)|Very|As creator|Nil|Nil|Very rare|1|Nil|Nil|III|81\+2/hp
horse_draft|Draft Horse||Horse|16|7|12"|3|1|1--3|1--3|Nil|Nil|Standard||L|Animal|Neutral|Nil|Nil|Common|1|Nil|Nil|II|35\+3/hp
warhorse_heavy|Heavy Warhorse||Horse|16|7|15"|3+3|3|1--8\?1--8\?1--3|2\x1--8\?1--3|Nil|Nil|Standard||L|Animal|Neutral|Nil|Nil|Uncommon|1|Nil|Nil|III|60\+4/hp
warhorse_light|Light Warhorse||Horse|16|7|24"|2|2|1--4\?1--4|2\x1--4|Nil|Nil|Standard||L|Animal|Neutral|Nil|Nil|Uncommon|1|Nil|Nil|I|20\+2/hp
warhorse_medium|Medium Warhorse||Horse|16|7|18"|2+2|3|1--6\?1--6\?1--3|2\x1--6\?1--3|Nil|Nil|Standard||L|Animal|Neutral|Nil|Nil|Uncommon|1|Nil|Nil|II|35\+3/hp
pony|Pony|Ponies|Horse|18|7|12"|1+1|1|1--2|1--2|Nil|Nil|Standard||L|Animal|Neutral|Nil|Nil|Uncommon|1|Nil|Nil|I|20\+2/hp
horse_wild|Wild Horse||Horse|16|7|24"|2|1|1--3|1--3|Nil|Nil|Standard||L|Animal|Neutral|Nil|Nil|Uncommon|5--30|Nil|Nil|I|20\+2/hp
hydra|Hydra|Hydrae||15\?13\?12\?10\?9\?8\?7|5|9"|5--16 (40--128 hp)|5--16|1--6, 1--8, 1--10, 1--12, or 2--12 (by heads)|(by heads)|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|III--VIII|(by heads)
hydra_lernaean|Lernaean Hydra|Lernaean Hydrae|Hydra|15\?13\?12\?10\?9\?8\?7|5|9"|5--16 (40--128 hp)|5--16|1--6, 1--8, 1--10, 1--12, or 2--12 (by heads)|(by heads)|Up to 4 attacks on one opponent|Two heads regrow in 1--4 rounds unless fire is applied; all heads must be killed|Standard|Up to 4 attacks on one opponent; Two heads regrow unless fire is applied, all heads must be killed|L|Semi-|Neutral|Nil|Nil|Very rare|1|20\%|B|III--VIII|(by final heads)
hydra_5_heads|5-Headed Hydra|5-Headed Hydrae|Hydra|15|5|9"|5 (40 hp)|5|1--6|1--6|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|III|130\+5/hp
hydra_6_heads|6-Headed Hydra|6-Headed Hydrae|Hydra|13|5|9"|6 (48 hp)|6|1--6|1--6|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|IV|225\+6/hp
hydra_7_heads|7-Headed Hydra|7-Headed Hydrae|Hydra|13|5|9"|7 (56 hp)|7|1--8|1--8|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|V|350\+8/hp
hydra_8_heads|8-Headed Hydra|8-Headed Hydrae|Hydra|12|5|9"|8 (64 hp)|8|1--8|1--8|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VI|550\+10/hp
hydra_9_heads|9-Headed Hydra|9-Headed Hydrae|Hydra|12|5|9"|9 (72 hp)|9|1--8|1--8|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VI|900\+12/hp
hydra_10_heads|10-Headed Hydra|10-Headed Hydrae|Hydra|10|5|9"|10 (80 hp)|10|1--8|1--8|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VII|1350\+14/hp
hydra_11_heads|11-Headed Hydra|11-Headed Hydrae|Hydra|10|5|9"|11 (88 hp)|11|1--10|1--10|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VII|2000\+16/hp
hydra_12_heads|12-Headed Hydra|12-Headed Hydrae|Hydra|9|5|9"|12 (96 hp)|12|1--10|1--10|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VII|2000\+16/hp
hydra_13_heads|13-Headed Hydra|13-Headed Hydrae|Hydra|9|5|9"|13 (104 hp)|13|1--12|1--12|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VIII|3950\+18/hp
hydra_14_heads|14-Headed Hydra|14-Headed Hydrae|Hydra|8|5|9"|14 (112 hp)|14|1--12|1--12|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VIII|3950\+18/hp
hydra_15_heads|15-Headed Hydra|15-Headed Hydrae|Hydra|8|5|9"|15 (120 hp)|15|1--12|1--12|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VIII|5250\+20/hp
hydra_16_heads|16-Headed Hydra|16-Headed Hydrae|Hydra|7|5|9"|16 (128 hp)|16|2--12|2--12|Up to 4 attacks on one opponent|All heads must be killed|Standard|Up to 4 attacks on one opponent; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VIII|5250\+20/hp
pyrohydra|Pyrohydra|Pyrohydrae|Hydra|15\?13\?12\?10\?9|5|9"|5--12 (40--96 hp)|5--12|1--6, 1--8, or 1--10 (by heads)|(by heads)|Up to 4 attacks on one opponent, fire breath (1--8 or 1--10/head, twice/day; save for half)|All heads must be killed|Standard|Up to 4 attacks on one opponent, fire breath; All heads must be killed|L|Semi-|Neutral|Nil|Nil|Uncommon|1|20\%|B|VI--VIII|(by heads)
